Station,Date,AQI,Year,Month,Day
Aghdasieh,1393/01/01,49,1393,1,1
Aghdasieh,1393/01/02,36,1393,1,2
Aghdasieh,1393/01/03,35,1393,1,3
Aghdasieh,1393/01/04,62,1393,1,4
Aghdasieh,1393/01/05,52,1393,1,5
Aghdasieh,1393/01/06,61,1393,1,6
Aghdasieh,1393/01/07,53,1393,1,7
Aghdasieh,1393/01/08,34,1393,1,8
Aghdasieh,1393/01/09,28,1393,1,9
Aghdasieh,1393/01/10,58,1393,1,10
Aghdasieh,1393/01/11,34,1393,1,11
Aghdasieh,1393/01/12,39,1393,1,12
Aghdasieh,1393/01/13,36,1393,1,13
Aghdasieh,1393/01/14,59,1393,1,14
Aghdasieh,1393/01/15,70,1393,1,15
Aghdasieh,1393/01/16,67,1393,1,16
Aghdasieh,1393/01/17,39,1393,1,17
Aghdasieh,1393/01/18,74,1393,1,18
Aghdasieh,1393/01/19,73,1393,1,19
Aghdasieh,1393/01/20,78,1393,1,20
Aghdasieh,1393/01/21,66,1393,1,21
Aghdasieh,1393/01/22,54,1393,1,22
Aghdasieh,1393/01/23,50,1393,1,23
Aghdasieh,1393/01/24,56,1393,1,24
Aghdasieh,1393/01/25,57,1393,1,25
Aghdasieh,1393/01/26,36,1393,1,26
Aghdasieh,1393/01/27,36,1393,1,27
Aghdasieh,1393/01/28,,1393,1,28
Aghdasieh,1393/01/29,,1393,1,29
Aghdasieh,1393/01/30,,1393,1,30
Aghdasieh,1393/01/31,,1393,1,31
Aghdasieh,1393/02/01,,1393,2,1
Aghdasieh,1393/02/02,,1393,2,2
Aghdasieh,1393/02/03,54,1393,2,3
Aghdasieh,1393/02/04,59,1393,2,4
Aghdasieh,1393/02/05,55,1393,2,5
Aghdasieh,1393/02/06,56,1393,2,6
Aghdasieh,1393/02/07,44,1393,2,7
Aghdasieh,1393/02/08,60,1393,2,8
Aghdasieh,1393/02/09,58,1393,2,9
Aghdasieh,1393/02/10,55,1393,2,10
Aghdasieh,1393/02/11,47,1393,2,11
Aghdasieh,1393/02/12,58,1393,2,12
Aghdasieh,1393/02/13,56,1393,2,13
Aghdasieh,1393/02/14,,1393,2,14
Aghdasieh,1393/02/15,,1393,2,15
Aghdasieh,1393/02/16,50,1393,2,16
Aghdasieh,1393/02/17,,1393,2,17
Aghdasieh,1393/02/18,,1393,2,18
Aghdasieh,1393/02/19,50,1393,2,19
Aghdasieh,1393/02/20,56,1393,2,20
Aghdasieh,1393/02/21,85,1393,2,21
Aghdasieh,1393/02/22,43,1393,2,22
Aghdasieh,1393/02/23,49,1393,2,23
Aghdasieh,1393/02/24,45,1393,2,24
Aghdasieh,1393/02/25,51,1393,2,25
Aghdasieh,1393/02/26,61,1393,2,26
Aghdasieh,1393/02/27,,1393,2,27
Aghdasieh,1393/02/28,68,1393,2,28
Aghdasieh,1393/02/29,,1393,2,29
Aghdasieh,1393/02/30,44,1393,2,30
Aghdasieh,1393/02/31,,1393,2,31
Aghdasieh,1393/03/01,66,1393,3,1
Aghdasieh,1393/03/02,55,1393,3,2
Aghdasieh,1393/03/03,,1393,3,3
Aghdasieh,1393/03/04,51,1393,3,4
Aghdasieh,1393/03/05,40,1393,3,5
Aghdasieh,1393/03/06,42,1393,3,6
Aghdasieh,1393/03/07,26,1393,3,7
Aghdasieh,1393/03/08,69,1393,3,8
Aghdasieh,1393/03/09,81,1393,3,9
Aghdasieh,1393/03/10,54,1393,3,10
Aghdasieh,1393/03/11,88,1393,3,11
Aghdasieh,1393/03/12,58,1393,3,12
Aghdasieh,1393/03/13,71,1393,3,13
Aghdasieh,1393/03/14,77,1393,3,14
Aghdasieh,1393/03/15,,1393,3,15
Aghdasieh,1393/03/16,,1393,3,16
Aghdasieh,1393/03/17,,1393,3,17
Aghdasieh,1393/03/18,73,1393,3,18
Aghdasieh,1393/03/19,73,1393,3,19
Aghdasieh,1393/03/20,60,1393,3,20
Aghdasieh,1393/03/21,60,1393,3,21
Aghdasieh,1393/03/22,,1393,3,22
Aghdasieh,1393/03/23,,1393,3,23
Aghdasieh,1393/03/24,,1393,3,24
Aghdasieh,1393/03/25,,1393,3,25
Aghdasieh,1393/03/26,,1393,3,26
Aghdasieh,1393/03/27,,1393,3,27
Aghdasieh,1393/03/28,,1393,3,28
Aghdasieh,1393/03/29,,1393,3,29
Aghdasieh,1393/03/30,,1393,3,30
Aghdasieh,1393/03/31,62,1393,3,31
Aghdasieh,1393/04/01,,1393,4,1
Aghdasieh,1393/04/02,,1393,4,2
Aghdasieh,1393/04/03,63,1393,4,3
Aghdasieh,1393/04/04,,1393,4,4
Aghdasieh,1393/04/05,,1393,4,5
Aghdasieh,1393/04/06,,1393,4,6
Aghdasieh,1393/04/07,,1393,4,7
Aghdasieh,1393/04/08,,1393,4,8
Aghdasieh,1393/04/09,,1393,4,9
