Station,Date,AQI,Year,Month,Day
Pirozi,1393/01/01,31,1393,1,1
Pirozi,1393/01/02,45,1393,1,2
Pirozi,1393/01/03,10,1393,1,3
Pirozi,1393/01/04,17,1393,1,4
Pirozi,1393/01/05,19,1393,1,5
Pirozi,1393/01/06,27,1393,1,6
Pirozi,1393/01/07,19,1393,1,7
Pirozi,1393/01/08,18,1393,1,8
Pirozi,1393/01/09,18,1393,1,9
Pirozi,1393/01/10,,1393,1,10
Pirozi,1393/01/11,10,1393,1,11
Pirozi,1393/01/12,9,1393,1,12
Pirozi,1393/01/13,18,1393,1,13
Pirozi,1393/01/14,9,1393,1,14
Pirozi,1393/01/15,16,1393,1,15
Pirozi,1393/01/16,16,1393,1,16
Pirozi,1393/01/17,,1393,1,17
Pirozi,1393/01/18,22,1393,1,18
Pirozi,1393/01/19,22,1393,1,19
Pirozi,1393/01/20,17,1393,1,20
Pirozi,1393/01/21,28,1393,1,21
Pirozi,1393/01/22,35,1393,1,22
Pirozi,1393/01/23,40,1393,1,23
Pirozi,1393/01/24,40,1393,1,24
Pirozi,1393/01/25,17,1393,1,25
Pirozi,1393/01/26,32,1393,1,26
Pirozi,1393/01/27,36,1393,1,27
Pirozi,1393/01/28,64,1393,1,28
Pirozi,1393/01/29,42,1393,1,29
Pirozi,1393/01/30,20,1393,1,30
Pirozi,1393/01/31,23,1393,1,31
Pirozi,1393/02/01,15,1393,2,1
Pirozi,1393/02/02,20,1393,2,2
Pirozi,1393/02/03,31,1393,2,3
Pirozi,1393/02/04,28,1393,2,4
Pirozi,1393/02/05,40,1393,2,5
Pirozi,1393/02/06,42,1393,2,6
Pirozi,1393/02/07,37,1393,2,7
Pirozi,1393/02/08,32,1393,2,8
Pirozi,1393/02/09,31,1393,2,9
Pirozi,1393/02/10,36,1393,2,10
Pirozi,1393/02/11,39,1393,2,11
Pirozi,1393/02/12,42,1393,2,12
Pirozi,1393/02/13,39,1393,2,13
Pirozi,1393/02/14,44,1393,2,14
Pirozi,1393/02/15,48,1393,2,15
Pirozi,1393/02/16,44,1393,2,16
Pirozi,1393/02/17,52,1393,2,17
Pirozi,1393/02/18,,1393,2,18
Pirozi,1393/02/19,,1393,2,19
Pirozi,1393/02/20,,1393,2,20
Pirozi,1393/02/21,48,1393,2,21
Pirozi,1393/02/22,35,1393,2,22
Pirozi,1393/02/23,35,1393,2,23
Pirozi,1393/02/24,34,1393,2,24
Pirozi,1393/02/25,11,1393,2,25
Pirozi,1393/02/26,66,1393,2,26
Pirozi,1393/02/27,45,1393,2,27
Pirozi,1393/02/28,52,1393,2,28
Pirozi,1393/02/29,47,1393,2,29
Pirozi,1393/02/30,36,1393,2,30
Pirozi,1393/02/31,14,1393,2,31
Pirozi,1393/03/01,33,1393,3,1
Pirozi,1393/03/02,46,1393,3,2
Pirozi,1393/03/03,44,1393,3,3
Pirozi,1393/03/04,41,1393,3,4
Pirozi,1393/03/05,62,1393,3,5
Pirozi,1393/03/06,49,1393,3,6
Pirozi,1393/03/07,44,1393,3,7
Pirozi,1393/03/08,45,1393,3,8
Pirozi,1393/03/09,43,1393,3,9
Pirozi,1393/03/10,47,1393,3,10
Pirozi,1393/03/11,48,1393,3,11
Pirozi,1393/03/12,44,1393,3,12
Pirozi,1393/03/13,36,1393,3,13
Pirozi,1393/03/14,33,1393,3,14
Pirozi,1393/03/15,41,1393,3,15
Pirozi,1393/03/16,42,1393,3,16
Pirozi,1393/03/17,41,1393,3,17
Pirozi,1393/03/18,40,1393,3,18
Pirozi,1393/03/19,27,1393,3,19
Pirozi,1393/03/20,37,1393,3,20
Pirozi,1393/03/21,44,1393,3,21
Pirozi,1393/03/22,27,1393,3,22
Pirozi,1393/03/23,34,1393,3,23
Pirozi,1393/03/24,27,1393,3,24
Pirozi,1393/03/25,38,1393,3,25
Pirozi,1393/03/26,47,1393,3,26
Pirozi,1393/03/27,39,1393,3,27
Pirozi,1393/03/28,,1393,3,28
Pirozi,1393/03/29,,1393,3,29
Pirozi,1393/03/30,,1393,3,30
Pirozi,1393/03/31,,1393,3,31
Pirozi,1393/04/01,,1393,4,1
Pirozi,1393/04/02,,1393,4,2
Pirozi,1393/04/03,,1393,4,3
Pirozi,1393/04/04,,1393,4,4
Pirozi,1393/04/05,,1393,4,5
Pirozi,1393/04/06,,1393,4,6
Pirozi,1393/04/07,,1393,4,7
Pirozi,1393/04/08,,1393,4,8
Pirozi,1393/04/09,,1393,4,9
Pirozi,1393/04/10,,1393,4,10
Pirozi,1393/04/11,,1393,4,11
Pirozi,1393/04/12,,1393,4,12
Pirozi,1393/04/13,,1393,4,13
Pirozi,1393/04/14,,1393,4,14
Pirozi,1393/04/15,,1393,4,15
Pirozi,1393/04/16,37,1393,4,16
Pirozi,1393/04/17,41,1393,4,17
Pirozi,1393/04/18,38,1393,4,18
Pirozi,1393/04/19,,1393,4,19
Pirozi,1393/04/20,,1393,4,20
Pirozi,1393/04/21,,1393,4,21
Pirozi,1393/04/22,,1393,4,22
Pirozi,1393/04/23,,1393,4,23
Pirozi,1393/04/24,,1393,4,24
Pirozi,1393/04/25,15,1393,4,25
Pirozi,1393/04/26,25,1393,4,26
Pirozi,1393/04/27,26,1393,4,27
Pirozi,1393/04/28,26,1393,4,28
Pirozi,1393/04/29,24,1393,4,29
Pirozi,1393/04/30,23,1393,4,30
