Station,Date,AQI,Year,Month,Day
Ponak,1393/01/01,35,1393,1,1
Ponak,1393/01/02,30,1393,1,2
Ponak,1393/01/03,29,1393,1,3
Ponak,1393/01/04,59,1393,1,4
Ponak,1393/01/05,82,1393,1,5
Ponak,1393/01/06,73,1393,1,6
Ponak,1393/01/07,31,1393,1,7
Ponak,1393/01/08,56,1393,1,8
Ponak,1393/01/09,23,1393,1,9
Ponak,1393/01/10,37,1393,1,10
Ponak,1393/01/11,36,1393,1,11
Ponak,1393/01/12,41,1393,1,12
Ponak,1393/01/13,34,1393,1,13
Ponak,1393/01/14,45,1393,1,14
Ponak,1393/01/15,47,1393,1,15
Ponak,1393/01/16,79,1393,1,16
Ponak,1393/01/17,52,1393,1,17
Ponak,1393/01/18,53,1393,1,18
Ponak,1393/01/19,54,1393,1,19
Ponak,1393/01/20,73,1393,1,20
Ponak,1393/01/21,58,1393,1,21
Ponak,1393/01/22,50,1393,1,22
Ponak,1393/01/23,41,1393,1,23
Ponak,1393/01/24,14,1393,1,24
Ponak,1393/01/25,55,1393,1,25
Ponak,1393/01/26,51,1393,1,26
Ponak,1393/01/27,59,1393,1,27
Ponak,1393/01/28,35,1393,1,28
Ponak,1393/01/29,42,1393,1,29
Ponak,1393/01/30,56,1393,1,30
Ponak,1393/01/31,56,1393,1,31
Ponak,1393/02/01,58,1393,2,1
Ponak,1393/02/02,45,1393,2,2
Ponak,1393/02/03,56,1393,2,3
Ponak,1393/02/04,56,1393,2,4
Ponak,1393/02/05,54,1393,2,5
Ponak,1393/02/06,58,1393,2,6
Ponak,1393/02/07,53,1393,2,7
Ponak,1393/02/08,62,1393,2,8
Ponak,1393/02/09,69,1393,2,9
Ponak,1393/02/10,49,1393,2,10
Ponak,1393/02/11,46,1393,2,11
Ponak,1393/02/12,60,1393,2,12
Ponak,1393/02/13,48,1393,2,13
Ponak,1393/02/14,41,1393,2,14
Ponak,1393/02/15,60,1393,2,15
Ponak,1393/02/16,50,1393,2,16
Ponak,1393/02/17,65,1393,2,17
Ponak,1393/02/18,68,1393,2,18
Ponak,1393/02/19,63,1393,2,19
Ponak,1393/02/20,53,1393,2,20
Ponak,1393/02/21,,1393,2,21
Ponak,1393/02/22,,1393,2,22
Ponak,1393/02/23,38,1393,2,23
Ponak,1393/02/24,46,1393,2,24
Ponak,1393/02/25,41,1393,2,25
Ponak,1393/02/26,59,1393,2,26
Ponak,1393/02/27,61,1393,2,27
Ponak,1393/02/28,47,1393,2,28
Ponak,1393/02/29,50,1393,2,29
Ponak,1393/02/30,51,1393,2,30
Ponak,1393/02/31,67,1393,2,31
Ponak,1393/03/01,69,1393,3,1
Ponak,1393/03/02,62,1393,3,2
Ponak,1393/03/03,65,1393,3,3
Ponak,1393/03/04,79,1393,3,4
Ponak,1393/03/05,40,1393,3,5
Ponak,1393/03/06,57,1393,3,6
Ponak,1393/03/07,54,1393,3,7
Ponak,1393/03/08,,1393,3,8
Ponak,1393/03/09,,1393,3,9
Ponak,1393/03/10,,1393,3,10
Ponak,1393/03/11,,1393,3,11
Ponak,1393/03/12,,1393,3,12
